treatment,year,emmean,SE,df,lower.CL,upper.CL
CT,2019,2.01864107166667,1.7001739443767236,2,-5.29661699115475,9.33389913448809
F2,2019,2.4196053942664744,1.9106116452250361,2,-5.801093016552137,10.640303805085086
F5,2019,3.666684541666667,1.7001739443767252,2,-3.648573521154759,10.981942604488093
F10,2019,0.9803770033333339,1.700173944376725,2,-6.334881059488092,8.295635066154759
CT,2020,6.038284838333334,1.7001739443767252,2,-1.276973224488092,13.35354290115476
F2,2020,4.491868319266477,1.9106116452250366,2,-3.728830091552137,12.71256673008509
F5,2020,3.8712321250000015,1.7001739443767248,2,-3.444025937821423,11.186490187821427
F10,2020,2.5728271866666663,1.7001739443767248,2,-4.742430876154758,9.88808524948809
CT,2021,-2.447886661666663,1.7001739443767248,2,-9.763144724488088,4.867371401154761
F2,2021,-3.064754310733523,1.9106116452250366,2,-11.285452721552137,5.15594410008509
F5,2021,-2.5750266116666634,1.7001739443767248,2,-9.890284674488088,4.740231451154761
F10,2021,-1.6759171999999969,1.700173944376725,2,-8.991175262821422,5.639340862821428
