contrast,year,estimate,SE,df,t.ratio,p.value
CT - F2,2019,-21.054836309756645,16.21659321763626,19,-1.2983513878154496,0.5750216190759432
CT - F5,2019,4.715652083333348,14.367132621939867,19,0.3282249985033294,0.9874042869774324
CT - F10,2019,1.9628358666667174,14.367132621939867,19,0.1366198752609338,0.9990561644269422
F2 - F5,2019,25.77048839308999,16.216593217636255,19,1.5891431725045342,0.4079254915558369
F2 - F10,2019,23.017672176423364,16.216593217636255,19,1.419390118967197,0.5031640471940197
F5 - F10,2019,-2.7528162166666306,14.367132621939867,19,-0.19160512324239562,0.9974166336701435
CT - F2,2020,9.67919300691003,16.216593217636255,19,0.5968696924816171,0.9317691628353364
CT - F5,2020,79.10957544666667,14.367132621939863,19,5.5062883825447155,1.4124932085002317e-4
CT - F10,2020,68.28528162000003,14.367132621939863,19,4.752881693019417,7.341836811505242e-4
F2 - F5,2020,69.43038243975663,16.216593217636255,19,4.281440713715877,0.0020915400078429514
F2 - F10,2020,58.60608861309,16.216593217636255,19,3.613958112321231,0.009156831650593444
F5 - F10,2020,-10.824293826666633,14.367132621939863,19,-0.7534066895252984,0.8740897860506214
CT - F2,2021,-26.058925243089988,16.216593217636255,19,-1.6069296980792345,0.39847442643654085
CT - F5,2021,16.339651466666687,14.367132621939863,19,1.1372938425942152,0.67177157278009
CT - F10,2021,13.505476520000043,14.367132621939865,19,0.9400258823654208,0.7839749347314408
F2 - F5,2021,42.398576709756675,16.21659321763625,19,2.6145181136840985,0.07391602716170453
F2 - F10,2021,39.56440176309003,16.216593217636255,19,2.4397480551008712,0.10314933192887865
F5 - F10,2021,-2.8341749466666446,14.367132621939863,19,-0.1972679602287942,0.9971834254653398
